Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
131,Nalin Kumar Kateel,Dakshina Kannada,BJP,1,10th Pass,"Rs 53,91,279  ~ 53 Lacs+","Rs 28,44,596  ~ 28 Lacs+"
150,CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP,1,Graduate,"Rs 85,15,581  ~ 85 Lacs+","Rs 15,20,114  ~ 15 Lacs+"
151,JAGDAMBIKA PAL,Domariyaganj,INC,1,Post Graduate,"Rs 4,97,20,730  ~ 4 Crore+","Rs 45,66,564  ~ 45 Lacs+"
158,GANESHAMURTHI.A.,Erode,MDMK,1,Graduate,"Rs 2,67,29,518  ~ 2 Crore+","Rs 10,85,323  ~ 10 Lacs+"
159,PREMDAS,Etawah,SP,1,Graduate,"Rs 42,28,828  ~ 42 Lacs+",Rs 0  ~
161,AVTAR SINGH BHADANA,Faridabad,INC,1,8th Pass,"Rs 4,05,73,585  ~ 4 Crore+",Rs 0  ~
170,LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP,1,Graduate Professional,"Rs 3,55,43,172  ~ 3 Crore+",Rs 0  ~
177,RAJNATH SINGH,Ghaziabad,BJP,1,Post Graduate,"Rs 1,49,02,703  ~ 1 Crore+",Rs 0  ~
178,RADHEY MOHAN SINGH,Ghazipur,SP,1,Graduate,"Rs 2,20,62,609  ~ 2 Crore+","Rs 17,52,447  ~ 17 Lacs+"
180,RAVINDRA KUMAR PANDEY,Giridih,BJP,1,Graduate,"Rs 3,27,22,762  ~ 3 Crore+","Rs 33,17,725  ~ 33 Lacs+"
183,PURNAMASI RAM,Gopalganj,JD(U),1,10th Pass,"Rs 34,21,562  ~ 34 Lacs+","Rs 5,33,024  ~ 5 Lacs+"
194,HARISH RAWAT,Hardwar,INC,1,Graduate Professional,"Rs 1,18,25,335  ~ 1 Crore+",Rs 0  ~
199,YASHWANT SINHA,Hazaribagh,BJP,1,Post Graduate,"Rs 3,65,76,217  ~ 3 Crore+",Rs 0  ~
206,AMBICA BANERJEE,Howrah,AITC,1,Graduate Professional,"Rs 6,29,26,674  ~ 6 Crore+","Rs 72,33,333  ~ 72 Lacs+"
223,MADAN LAL SHARMA,Jammu,INC,1,10th Pass,"Rs 1,18,82,734  ~ 1 Crore+","Rs 1,49,750  ~ 1 Lacs+"
229,DHANANJAY SINGH,Jaunpur,BSP,1,Post Graduate,"Rs 43,62,656  ~ 43 Lacs+","Rs 6,78,982  ~ 6 Lacs+"
237,DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP,1,Graduate,"Rs 1,94,60,865  ~ 1 Crore+","Rs 59,45,896  ~ 59 Lacs+"
238,POONAMBEN VELJIBHAI JAT,Kachchh,BJP,1,12th Pass,"Rs 5,24,126  ~ 5 Lacs+",Rs 0  ~
245,SANKAR ADHI,Kallakurichi,DMK,1,Graduate Professional,"Rs 1,78,37,266  ~ 1 Crore+","Rs 9,86,068  ~ 9 Lacs+"
246,ANAND PRAKASH PARANJAPE,Kalyan,SHS,1,Post Graduate,"Rs 1,19,98,220  ~ 1 Crore+","Rs 38,71,225  ~ 38 Lacs+"
255,ADHIKARI SISIR KUMAR,Kanthi,AITC,1,12th Pass,"Rs 10,83,159  ~ 10 Lacs+",Rs 0  ~
