Sno,Candidate,Constituency,Party,Total Expenses in election
187,Mohan Jena,Jajpur,BJD,"Rs 15,35,239 ~ 15 Lacs+"
188,MOHINDER SINGH KAYPEE,Jalandhar,INC,"Rs 15,83,439 ~ 15 Lacs+"
189,GHANSYAM ANURAGI,Jalaun,SP,"Rs 19,19,879 ~ 19 Lacs+"
190,A.T. NANA PATIL,Jalgaon,BJP,"Rs 14,74,623 ~ 14 Lacs+"
191,DANVE RAOSAHEB DADARAO,Jalna,BJP,"Rs 13,62,636 ~ 13 Lacs+"
192,DEV JI PATEL,Jalore,BJP,"Rs 19,23,250 ~ 19 Lacs+"
193,Mahendra Kumar Roy,Jalpaiguri,CPM,"Rs 10,91,790 ~ 10 Lacs+"
194,MADAN LAL SHARMA,Jammu,INC,"Rs 8,08,196 ~ 8 Lacs+"
195,VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,"Rs 10,93,075 ~ 10 Lacs+"
196,BHUDEO CHOUDHARY,Jamui,JD(U),"Rs 17,95,831 ~ 17 Lacs+"
197,PRANAB MUKHERJEE,Jangipur,INC,"Rs 21,39,408 ~ 21 Lacs+"
198,DHANANJAY SINGH,Jaunpur,BSP,"Rs 21,53,829 ~ 21 Lacs+"
199,DR. TARUN MONDAL,Jaynagar,IND,"Rs 5,87,558 ~ 5 Lacs+"
200,DUSHYANT SINGH,Jhalawar-Baran,BJP,"Rs 21,55,829 ~ 21 Lacs+"
201,PRADEEP KUMAR JAIN,Jhansi,INC,"Rs 12,70,875 ~ 12 Lacs+"
202,Pulin Bihari Baske,Jhargram,CPM,"Rs 5,02,811 ~ 5 Lacs+"
203,SHEESHRAM OLA,Jhunjhunu,INC,"Rs 8,59,184 ~ 8 Lacs+"
204,CHANDRESH KUMARI,Jodhpur,INC,"Rs 14,11,442 ~ 14 Lacs+"
205,BIJOY KRISHNA HANDIQUE,Jorhat,INC,"Rs 13,96,081 ~ 13 Lacs+"
206,DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP,"Rs 19,81,234 ~ 19 Lacs+"
207,POONAMBEN VELJIBHAI JAT,Kachchh,BJP,"Rs 13,48,747 ~ 13 Lacs+"
208,TABASSUM BEGAM,Kairana,BSP,"Rs 9,72,643 ~ 9 Lacs+"
209,BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP,"Rs 23,18,057 ~ 23 Lacs+"
210,Bhakta Charan Das,Kalahandi,INC,"Rs 14,38,107 ~ 14 Lacs+"
211,DIP GOGOI,Kaliabor,INC,"Rs 22,08,612 ~ 22 Lacs+"
212,SANKAR ADHI,Kallakurichi,DMK,"Rs 6,48,229 ~ 6 Lacs+"
213,ANAND PRAKASH PARANJAPE,Kalyan,SHS,"Rs 18,44,939 ~ 18 Lacs+"
214,VISWANATHAN.P,Kancheepuram,INC,"Rs 9,47,445 ~ 9 Lacs+"
215,Rudra Madhab Ray,Kandhamal,BJD,"Rs 11,88,799 ~ 11 Lacs+"
216,DR. RAJAN SUSHANT,Kangra,BJP,"Rs 8,18,572 ~ 8 Lacs+"
217,Sohan Potai,Kanker,BJP,"Rs 17,14,997 ~ 17 Lacs+"
218,AKHILESH YADAV,Kannauj,SP,"Rs 26,73,865 ~ 26 Lacs+"
219,HELEN DAVIDSON J,Kanniyakumari,DMK,"Rs 8,70,980 ~ 8 Lacs+"
220,K Sudhakaran Kavinte Arikathu,Kannur,INC,"Rs 20,01,133 ~ 20 Lacs+"
221,SRI PRAKASH JAISWAL,Kanpur,INC,"Rs 18,41,506 ~ 18 Lacs+"
222,ADHIKARI SISIR KUMAR,Kanthi,AITC,"Rs 9,80,791 ~ 9 Lacs+"
223,Mahabali Singh,Karakat,JD(U),"Rs 10,83,892 ~ 10 Lacs+"
224,KHILADI LAL BAIRWA,Karauli-Dholpur,INC,"Rs 18,02,262 ~ 18 Lacs+"
225,Lalit Mohan Suklabaidya,Karimganj,INC,"Rs 12,05,529 ~ 12 Lacs+"
226,ARVIND KUMAR SHARMA,Karnal,INC,"Rs 18,88,418 ~ 18 Lacs+"
227,TAMBIDURAI.M,Karur,ADMK,"Rs 5,15,575 ~ 5 Lacs+"
228,P.Karunakaran,Kasaragod,CPM,"Rs 12,76,625 ~ 12 Lacs+"
229,SHAILENDRA KUMAR,Kaushambi,SP,"Rs 17,67,808 ~ 17 Lacs+"
230,Baijayant Panda,Kendrapara,BJD,"Rs 14,86,415 ~ 14 Lacs+"
231,Yashbanta Narayan Singh Laguri,Keonjhar,BJD,"Rs 24,97,207 ~ 24 Lacs+"
232,DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD,"Rs 12,32,427 ~ 12 Lacs+"
233,JEETENDRA SINGH,Khajuraho,BJP,"Rs 13,39,298 ~ 13 Lacs+"
234,ARUN SUBHASHCHANDRA YADAV,Khandwa,INC,"Rs 16,11,237 ~ 16 Lacs+"
235,MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,"Rs 11,03,222 ~ 11 Lacs+"
236,DINSHA ZAVARBHAI PATEL,Kheda,INC,"Rs 4,54,374 ~ 4 Lacs+"
237,ZAFAR ALI NAQVI,Kheri,INC,"Rs 13,80,047 ~ 13 Lacs+"
238,KARIYA MUNDA,Khunti,BJP,"Rs 22,81,321 ~ 22 Lacs+"
239,MOHAMMAD ASRARUL HAQUE,Kishanganj,INC,"Rs 16,34,991 ~ 16 Lacs+"
240,Babu Lal Marandi,Kodarma,JVM,"Rs 22,90,467 ~ 22 Lacs+"
241,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,BOPF,"Rs 22,44,048 ~ 22 Lacs+"
242,SADASHIVRAO MANDLIK DADOBA,Kolhapur,IND,"Rs 10,61,023 ~ 10 Lacs+"
243,MAMATA BANERJEE,Kolkata Dakshin,AITC,"Rs 18,01,070 ~ 18 Lacs+"
244,SUDIP BANDYOPADHYAY,Kolkata Uttar,AITC,"Rs 17,21,663 ~ 17 Lacs+"
245,N Peethambarakurup,Kollam,INC,"Rs 20,12,292 ~ 20 Lacs+"
246,Shivaramgouda,Koppal,BJP,"Rs 18,65,093 ~ 18 Lacs+"
247,Jayaram Pangi,Koraput,BJD,"Rs 6,92,312 ~ 6 Lacs+"
248,Charandas Mahant,Korba,INC,"Rs 15,40,117 ~ 15 Lacs+"
249,IJYARAJ SINGH,Kota,INC,"Rs 14,70,786 ~ 14 Lacs+"
250,Jose K Mani,Kottayam,KEC(M),"Rs 16,78,839 ~ 16 Lacs+"
251,M K Raghavan,Kozhikode,INC,"Rs 10,10,670 ~ 10 Lacs+"
252,SUGAVANAM. E.G.,Krishnagiri,DMK,"Rs 11,30,002 ~ 11 Lacs+"
253,TAPAS PAUL,Krishnanagar,AITC,"Rs 15,41,300 ~ 15 Lacs+"
254,NAVEEN JINDAL,Kurukshetra,INC,"Rs 17,92,285 ~ 17 Lacs+"
255,KU. RATANJEET PRATAP NARAYAN SINGH,Kushi Nagar,INC,"Rs 13,79,672 ~ 13 Lacs+"
256,HASSAN KHAN,Ladakh,IND,"Rs 3,97,550 ~ 3 Lacs+"
257,RANEE NARAH,Lakhimpur,INC,"Rs 15,78,937 ~ 15 Lacs+"
258,Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,"Rs 2,02,226 ~ 2 Lacs+"
259,DR. BALIRAM,Lalganj,BSP,"Rs 17,86,846 ~ 17 Lacs+"
260,AAWALE JAYWANT GANGARAM,Latur,INC,"Rs 23,16,213 ~ 23 Lacs+"
261,Sudershan Bhagat,Lohardaga,BJP,"Rs 21,06,156 ~ 21 Lacs+"
262,LAL JI TANDON,Lucknow,BJP,"Rs 16,51,350 ~ 16 Lacs+"
263,MANISH TEWARI,Ludhiana,INC,"Rs 18,47,705 ~ 18 Lacs+"
264,TUFANI SAROJ,Machhlishahr,SP,"Rs 13,51,016 ~ 13 Lacs+"
265,PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,"Rs 19,09,633 ~ 19 Lacs+"
266,SHARAD YADAV,Madhepura,JD(U),"Rs 15,89,031 ~ 15 Lacs+"
267,ALAGIRI M.K,Madurai,DMK,"Rs 14,13,692 ~ 14 Lacs+"
268,P. BALRAM,Mahabubabad,INC,"Rs 12,58,657 ~ 12 Lacs+"
269,HARSH VARDHAN,Maharajganj,INC,"Rs 10,45,822 ~ 10 Lacs+"
270,Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,"Rs 13,88,829 ~ 13 Lacs+"
271,JAYSHREEBEN KANUBHAI PATEL,Mahesana,BJP,"Rs 16,70,850 ~ 16 Lacs+"
272,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,"Rs 15,97,521 ~ 15 Lacs+"
273,Mausam Noor,Maldaha Uttar,INC,"Rs 14,00,841 ~ 14 Lacs+"
274,VIRBHADRA SINGH,Mandi,INC,"Rs 14,84,987 ~ 14 Lacs+"
275,BASORI SINGH MASRAM,Mandla,INC,"Rs 17,34,616 ~ 17 Lacs+"
276,MEENAKSHI NATRAJAN,Mandsour,INC,"Rs 14,78,951 ~ 14 Lacs+"
277,N Chaluvarayaswamy,Mandya,JD(S),"Rs 17,25,324 ~ 17 Lacs+"
