,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
329,Muzaffarnagar,BSP,1156040,Shri  Kadir  Rana                                              ,Uttar Pradesh                                               ,8,4,0,58451906,0,0.019777627,0.307692308
334,Lucknow,BJP,1651350,Shri  Lalji  Tandon                                            ,Uttar Pradesh                                               ,5,0,1,21700160,0,0.076098517,0.192307692
345,Baghpat,RLD,1304886,Shri  Ajit  Singh                                             ,Uttar Pradesh                                               ,0,0,2,58232462,13077,0.022408223,0
349,Gonda,INC,1177485,Shri  Beni Prasad  Verma                                             ,Uttar Pradesh                                               ,0,0,2,20183574,80932,0.058338776,0
39,Almora,INC,1941954,Shri  Pradeep  Tamta                                             ,Uttarakhand                                                 ,26,0,2,1590000,0,1.221354717,1
51,Garhwal,INC,1725916,Shri  Satpal  Maharaj                                           ,Uttarakhand                                                 ,25,0,1,112136795,0,0.015391166,0.961538462
138,Tehri Garhwal,INC,1532942,Shri  Vijay  Bahuguna                                          ,Uttarakhand                                                 ,23,0,2,13501773,0,0.113536348,0.884615385
247,Nainital-Udhamsingh Nagar,INC,2237714,Shri  K.C.  Singh Baba                                        ,Uttarakhand                                                 ,18,0,1,43987049,649024,0.05087211,0.692307692
367,Hardwar,INC,1807928,Shri  Harish  Rawat                                             ,Uttarakhand                                                 ,0,1,2,11825335,0,0.152885986,0
17,Bardhaman Purba,CPM,1249177,Dr.  Anup Kumar  Saha                                              ,West Bengal                                                 ,26,0,2,7472944,0,0.167159957,1
24,Jhargram,CPM,502811,Shri  Pulin Bihari  Baske                                             ,West Bengal                                                 ,26,0,2,1484298,0,0.338753404,1
26,Ghatal,CPI,1262689,Shri  Gurudas  Das Gupta                                         ,West Bengal                                                 ,26,0,2,3654001,0,0.345563397,1
35,Medinipur,CPI,1161022,Shri  Prabodh  Panda                                             ,West Bengal                                                 ,26,0,1,2230746,362156,0.520463558,1
70,Bankura,CPM,1320108,Shri  Basudeb  Acharia                                           ,West Bengal                                                 ,25,0,2,3249037,0,0.406307469,0.961538462
73,Bardhaman-Durgapur,CPM,1552329,Sk.   Saidul  Haque                                             ,West Bengal                                                 ,25,0,2,2414520,128172,0.64291412,0.961538462
74,Bishnupur,CPM,1306006,Smt.  Susmita  Bauri                                             ,West Bengal                                                 ,25,0,2,1078000,174660,1.211508349,0.961538462
98,Hooghly,AITC,1210703,Dr.  Ratna  De (Nag)                                          ,West Bengal                                                 ,24,0,2,8730448,0,0.13867593,0.923076923
113,Bangaon,AITC,2374160,Shri  Gobinda Chandra  Naskar                                            ,West Bengal                                                 ,24,0,2,2549515,0,0.931220252,0.923076923
146,Bolpur,CPM,1460806,Dr.  Ram Chandra  Dome                                              ,West Bengal                                                 ,23,0,2,739396,0,1.97567474,0.884615385
136,Birbhum,AITC,1097610,Smt.  Satabdi  Roy                                               ,West Bengal                                                 ,23,0,1,13148000,526321,0.083481138,0.884615385
156,Krishnanagar,AITC,1541300,Shri  Tapas  Paul                                              ,West Bengal                                                 ,23,5,1,9614227,0,0.160314501,0.884615385
165,Barrackpur,AITC,1301967,Shri  Dinesh  Trivedi                                           ,West Bengal                                                 ,22,0,2,27203930,0,0.047859519,0.846153846
173,Ranaghat,AITC,2178194,Dr.  Sucharu Ranjan  Haldar                                            ,West Bengal                                                 ,22,0,2,10882896,0,0.20014838,0.846153846
193,Sreerampur,AITC,907777,Shri  Kalyan  Banerjee                                          ,West Bengal                                                 ,21,0,2,16146266,2125000,0.056222101,0.807692308
206,Kolkata Uttar,AITC,1721663,Shri  Sudip  Bandyopadhyay                                     ,West Bengal                                                 ,21,0,1,4187479,196283,0.411145465,0.807692308
227,Purulia,AIFB,1604445,Shri  Narahari  Mahato                                            ,West Bengal                                                 ,20,0,2,3086000,400000,0.519910888,0.769230769
228,Balurghat,RSP,1690214,Shri  Prasanta Kumar  Majumdar                                          ,West Bengal                                                 ,20,0,2,1676454,0,1.008207801,0.769230769
235,Jadavpur,AITC,1643805,Shri  Kabir  Suman                                             ,West Bengal                                                 ,19,0,1,3206685,0,0.512618171,0.730769231
236,Alipurduars,RSP,1244623,Shri  Manohar  Tirkey                                            ,West Bengal                                                 ,19,0,1,2358725,0,0.527667702,0.730769231
252,Jalpaiguri,CPM,1091790,Shri  Mahendra Kumar  Roy                                               ,West Bengal                                                 ,18,0,2,2878591,0,0.379279307,0.692307692
255,Asansol,CPM,1469929,Shri  Bansagopal  Chowdhury                                         ,West Bengal                                                 ,18,0,1,1423763,0,1.03242534,0.692307692
280,Dum Dum,AITC,1929495,Prof.  Saugata  Ray                                               ,West Bengal                                                 ,16,0,2,3971408,0,0.485846581,0.615384615
281,Maldaha Uttar,INC,1400841,Ms.  Mausam  Noor                                              ,West Bengal                                                 ,16,0,2,1847359,234488,0.758293867,0.615384615
283,Murshidabad,INC,1285460,Shri  Abdul Mannan  Hossain                                           ,West Bengal                                                 ,16,1,1,1709788,1006391,0.751824203,0.615384615
302,Barasat,AITC,1932569,Dr.  Kakoli Ghosh  Dastidar                                          ,West Bengal                                                 ,14,0,2,12576309,335000,0.153667423,0.538461538
304,Basirhat,AITC,1729056,Shri  S.K. Nurul  Islam                                             ,West Bengal                                                 ,14,0,1,1155500,807500,1.496370402,0.538461538
315,Diamond Harbour,AITC,1518890,Shri  Somendranath  Mitra                                             ,West Bengal                                                 ,12,0,2,14730832,157500,0.103109587,0.461538462
314,Darjeeling,BJP,1169618,Shri  Jaswant  Singh                                             ,West Bengal                                                 ,12,0,1,83571845,744864,0.013995359,0.461538462
328,Tamluk,AITC,1274375,Shri    Suvendu   Adhikari                                ,West Bengal                                                 ,8,3,1,4751934,0,0.268180282,0.307692308
336,Mathurapur,AITC,651097,  Choudhury Mohan  Jatua                                             ,West Bengal                                                 ,2,0,2,2585000,0,0.251875048,0.076923077
354,Raiganj,INC,1613946,Smt.  Deepa  Dasmunsi                                          ,West Bengal                                                 ,0,0,2,12514145,0,0.128969738,0
356,Maldaha Dakshin,INC,1597521,Shri  A.H.   Khan  Choudhury                                         ,West Bengal                                                 ,0,0,2,8782797,0,0.181892056,0
368,Baharampur,INC,1950856,Shri  Adhir Ranjan  Chowdhury                                         ,West Bengal                                                 ,0,4,1,29943557,1926083,0.065151111,0
