,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
166,191,DANVE RAOSAHEB DADARAO,Jalna,BJP,"Rs 13,62,636 ~ 13 Lacs+",438,496,Shri  Raosaheb  Dadarao  Danve                                             ,15,2,Maharashtra                                                 ,26,15,220,DANVE RAOSAHEB DADARAO,BJP,3,12th Pass,"Rs 2,42,71,518  ~ 2 Crore+","Rs 5,30,771  ~ 5 Lacs+"
167,192,DEV JI PATEL,Jalore,BJP,"Rs 19,23,250 ~ 19 Lacs+",466,525,Shri  Devji M.  Patel                                             ,15,2,Rajasthan                                                   ,26,18,221,DEV JI PATEL,BJP,0,10th Pass,"Rs 1,12,61,830  ~ 1 Crore+",Rs 0  ~
168,193,Mahendra Kumar Roy,Jalpaiguri,CPM,"Rs 10,91,790 ~ 10 Lacs+",282,336,Shri  Mahendra Kumar  Roy                                               ,15,2,West Bengal                                                 ,26,18,222,Mahendra Kumar Roy,CPM,0,Graduate Professional,"Rs 28,78,591  ~ 28 Lacs+",Rs 0  ~
169,194,MADAN LAL SHARMA,Jammu,INC,"Rs 8,08,196 ~ 8 Lacs+",44,79,Shri  Madan Lal  Sharma                                            ,15,2,Jammu and Kashmir                                           ,26,24,223,MADAN LAL SHARMA,INC,1,10th Pass,"Rs 1,18,82,734  ~ 1 Crore+","Rs 1,49,750  ~ 1 Lacs+"
170,195,VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,"Rs 10,93,075 ~ 10 Lacs+",104,149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ,15,2,Gujarat                                                     ,26,18,224,VIKRAMBHAI ARJANBHAI MADAM,INC,0,Graduate,"Rs 1,55,90,109  ~ 1 Crore+","Rs 4,00,000  ~ 4 Lacs+"
171,196,BHUDEO CHOUDHARY,Jamui,JD(U),"Rs 17,95,831 ~ 17 Lacs+",378,434,Shri  Bhudeo  Choudhary                                         ,15,2,Bihar                                                       ,26,25,226,BHUDEO CHOUDHARY,JD(U),0,Graduate Professional,"Rs 40,79,000  ~ 40 Lacs+","Rs 2,89,192  ~ 2 Lacs+"
172,198,DHANANJAY SINGH,Jaunpur,BSP,"Rs 21,53,829 ~ 21 Lacs+",271,324,Shri  Dhananjay  Singh                                             ,15,2,Uttar Pradesh                                               ,26,15,229,DHANANJAY SINGH,BSP,1,Post Graduate,"Rs 43,62,656  ~ 43 Lacs+","Rs 6,78,982  ~ 6 Lacs+"
173,200,DUSHYANT SINGH,Jhalawar-Baran,BJP,"Rs 21,55,829 ~ 21 Lacs+",453,511,Shri  Dushyant  Singh                                             ,15,2,Rajasthan                                                   ,26,21,231,DUSHYANT SINGH,BJP,0,Post Graduate,"Rs 6,41,10,900  ~ 6 Crore+","Rs 27,79,153  ~ 27 Lacs+"
174,202,Pulin Bihari Baske,Jhargram,CPM,"Rs 5,02,811 ~ 5 Lacs+",274,327,Shri  Pulin Bihari  Baske                                             ,15,2,West Bengal                                                 ,26,26,234,Pulin Bihari Baske,CPM,0,Graduate Professional,"Rs 14,84,298  ~ 14 Lacs+",Rs 0  ~
175,204,CHANDRESH KUMARI,Jodhpur,INC,"Rs 14,11,442 ~ 14 Lacs+",10,30,Smt.  Chandresh  Kumari                                            ,15,2,Rajasthan                                                   ,26,0,235,CHANDRESH KUMARI,INC,0,12th Pass,"Rs 13,28,81,067  ~ 13 Crore+","Rs 60,744  ~ 60 Thou+"
176,205,BIJOY KRISHNA HANDIQUE,Jorhat,INC,"Rs 13,96,081 ~ 13 Lacs+",64,103,Shri  Bijoy Krishna  Handique                                          ,15,2,Assam                                                       ,26,0,236,BIJOY KRISHNA HANDIQUE,INC,0,Post Graduate,"Rs 1,54,28,123  ~ 1 Crore+",Rs 0  ~
177,206,DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP,"Rs 19,81,234 ~ 19 Lacs+",457,515,Shri  Dinubhai  Boghabhal   Solanki                               ,15,2,Gujarat                                                     ,26,7,237,DINUBHAI BOGHABHAI SOLANKI,BJP,1,Graduate,"Rs 1,94,60,865  ~ 1 Crore+","Rs 59,45,896  ~ 59 Lacs+"
178,208,TABASSUM BEGAM,Kairana,BSP,"Rs 9,72,643 ~ 9 Lacs+",248,302,  Smt. Tabassum  Hasan  ,15,2,Uttar Pradesh                                               ,26,21,240,TABASSUM BEGAM,BSP,0,10th Pass,"Rs 1,16,67,328  ~ 1 Crore+",Rs 0  ~
179,209,BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP,"Rs 23,18,057 ~ 23 Lacs+",238,292,Shri  Brij Bhushan Sharan  Singh                                             ,15,2,Uttar Pradesh                                               ,26,25,241,BRIJBHUSHAN SARAN SINGH,SP,2,Graduate Professional,"Rs 5,35,37,885  ~ 5 Crore+",Rs 0  ~
180,210,Bhakta Charan Das,Kalahandi,INC,"Rs 14,38,107 ~ 14 Lacs+",89,134,Shri  Bhakta Charan  Das                                               ,15,2,Orissa                                                      ,26,25,243,Bhakta Charan Das,INC,4,Graduate Professional,"Rs 55,82,100  ~ 55 Lacs+","Rs 20,61,217  ~ 20 Lacs+"
181,211,DIP GOGOI,Kaliabor,INC,"Rs 22,08,612 ~ 22 Lacs+",79,124,Shri  Dip  Gogoi                                             ,15,2,Assam                                                       ,26,22,244,DIP GOGOI,INC,0,Graduate,"Rs 25,39,058  ~ 25 Lacs+",Rs 0  ~
182,212,SANKAR ADHI,Kallakurichi,DMK,"Rs 6,48,229 ~ 6 Lacs+",151,199,Shri    Adhi Sankar                                       ,15,2,Tamil Nadu                                                  ,26,19,245,SANKAR ADHI,DMK,1,Graduate Professional,"Rs 1,78,37,266  ~ 1 Crore+","Rs 9,86,068  ~ 9 Lacs+"
183,213,ANAND PRAKASH PARANJAPE,Kalyan,SHS,"Rs 18,44,939 ~ 18 Lacs+",338,392,Shri  Anand Prakash  Paranjpe                                          ,15,2,Maharashtra                                                 ,26,15,246,ANAND PRAKASH PARANJAPE,SHS,1,Post Graduate,"Rs 1,19,98,220  ~ 1 Crore+","Rs 38,71,225  ~ 38 Lacs+"
184,214,VISWANATHAN.P,Kancheepuram,INC,"Rs 9,47,445 ~ 9 Lacs+",58,97,Shri  P.  Viswanathan                                       ,15,2,Tamil Nadu                                                  ,26,24,247,VISWANATHAN.P,INC,0,Graduate,"Rs 56,85,495  ~ 56 Lacs+","Rs 22,46,494  ~ 22 Lacs+"
185,215,Rudra Madhab Ray,Kandhamal,BJD,"Rs 11,88,799 ~ 11 Lacs+",354,410,Shri  Rudramadhab  Ray                                               ,15,2,Orissa                                                      ,26,24,248,Rudra Madhab Ray,BJD,0,Graduate,"Rs 43,87,647  ~ 43 Lacs+","Rs 5,66,588  ~ 5 Lacs+"
186,216,DR. RAJAN SUSHANT,Kangra,BJP,"Rs 8,18,572 ~ 8 Lacs+",394,451,Dr.  Rajan  Sushant                                           ,15,2,Himachal Pradesh                                            ,26,25,249,DR. RAJAN SUSHANT,BJP,0,Graduate Professional,"Rs 1,10,24,873  ~ 1 Crore+","Rs 24,88,285  ~ 24 Lacs+"
187,217,Sohan Potai,Kanker,BJP,"Rs 17,14,997 ~ 17 Lacs+",441,499,Shri  Sohan  Potai                                             ,15,2,Chhattisgarh                                                ,26,22,250,Sohan Potai,BJP,0,Post Graduate,"Rs 82,61,296  ~ 82 Lacs+",Rs 0  ~
188,218,AKHILESH YADAV,Kannauj,SP,"Rs 26,73,865 ~ 26 Lacs+",232,286,Shri  Akhilesh  Yadav                                             ,15,2,Uttar Pradesh                                               ,26,17,251,AKHILESH YADAV,SP,0,Graduate Professional,"Rs 4,85,82,202  ~ 4 Crore+","Rs 77,26,354  ~ 77 Lacs+"
189,219,HELEN DAVIDSON J,Kanniyakumari,DMK,"Rs 8,70,980 ~ 8 Lacs+",209,262,Smt.  J. Helen Davidson  ,15,2,Tamil Nadu                                                  ,26,24,252,HELEN DAVIDSON J,DMK,0,Post Graduate,"Rs 4,84,55,728  ~ 4 Crore+","Rs 21,23,538  ~ 21 Lacs+"
190,220,K Sudhakaran Kavinte Arikathu,Kannur,INC,"Rs 20,01,133 ~ 20 Lacs+",136,183,Shri  K.  Sudhakaran                                        ,15,2,Kerala                                                      ,26,19,253,K Sudhakaran Kavinte Arikathu,INC,3,Post Graduate,"Rs 73,59,040  ~ 73 Lacs+","Rs 6,00,000  ~ 6 Lacs+"
191,223,Mahabali Singh,Karakat,JD(U),"Rs 10,83,892 ~ 10 Lacs+",367,423,Shri  Mahabali  Singh                                             ,15,2,Bihar                                                       ,26,25,256,Mahabali Singh,JD(U),3,8th Pass,"Rs 61,94,257  ~ 61 Lacs+",Rs 0  ~
192,224,KHILADI LAL BAIRWA,Karauli-Dholpur,INC,"Rs 18,02,262 ~ 18 Lacs+",186,236,Shri  Khiladi Lal  Bairwa                                            ,15,2,Rajasthan                                                   ,26,23,257,KHILADI LAL BAIRWA,INC,0,Graduate,"Rs 6,28,02,340  ~ 6 Crore+","Rs 56,93,479  ~ 56 Lacs+"
193,225,Lalit Mohan Suklabaidya,Karimganj,INC,"Rs 12,05,529 ~ 12 Lacs+",103,148,Shri  Lalit  Mohan  Suklabaidya                                       ,15,2,Assam                                                       ,26,24,258,Lalit Mohan Suklabaidya,INC,0,Post Graduate,"Rs 46,44,049  ~ 46 Lacs+",Rs 0  ~
194,226,ARVIND KUMAR SHARMA,Karnal,INC,"Rs 18,88,418 ~ 18 Lacs+",84,129,Dr.  Arvind Kumar  Sharma                                            ,15,2,Haryana                                                     ,26,20,260,ARVIND KUMAR SHARMA,INC,0,Post Graduate,"Rs 1,90,71,256  ~ 1 Crore+",Rs 0  ~
195,227,TAMBIDURAI.M,Karur,ADMK,"Rs 5,15,575 ~ 5 Lacs+",231,285,Dr.  M.  Thambidurai                                       ,15,2,Tamil Nadu                                                  ,26,25,261,TAMBIDURAI.M,ADMK,2,Doctorate,"Rs 9,37,50,227  ~ 9 Crore+",Rs 0  ~
196,228,P.Karunakaran,Kasaragod,CPM,"Rs 12,76,625 ~ 12 Lacs+",316,371,Shri  P.  Karunakaran                                       ,15,2,Kerala                                                      ,26,20,262,P.Karunakaran,CPM,12,Post Graduate,"Rs 1,78,23,645  ~ 1 Crore+",Rs 0  ~
197,230,Baijayant Panda,Kendrapara,BJD,"Rs 14,86,415 ~ 14 Lacs+",345,400,Shri  Baijayant  Panda                                             ,15,2,Orissa                                                      ,26,18,265,Baijayant Panda,BJD,0,Graduate Professional,"Rs 16,11,00,792  ~ 16 Crore+","Rs 4,51,767  ~ 4 Lacs+"
198,231,Yashbanta Narayan Singh Laguri,Keonjhar,BJD,"Rs 24,97,207 ~ 24 Lacs+",371,427,Shri  Yashbant N.S.  Laguri                                            ,15,2,Orissa                                                      ,26,24,266,Yashbanta Narayan Singh Laguri,BJD,6,Graduate,"Rs 5,75,000  ~ 5 Lacs+","Rs 1,50,00,000  ~ 1 Crore+"
199,232,DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD,"Rs 12,32,427 ~ 12 Lacs+",321,376,Dr.  Rattan Singh  Ajnala                                            ,15,2,Punjab                                                      ,26,23,267,DR. RATTAN SINGH AJNALA,SAD,1,Graduate Professional,"Rs 1,87,74,102  ~ 1 Crore+",Rs 0  ~
200,233,JEETENDRA SINGH,Khajuraho,BJP,"Rs 13,39,298 ~ 13 Lacs+",360,416,Shri  Jeetendra Singh  Bundela                                           ,15,2,Madhya Pradesh                                              ,26,26,269,JEETENDRA SINGH,BJP,0,Post Graduate,"Rs 1,05,96,506  ~ 1 Crore+",Rs 0  ~
201,234,ARUN SUBHASHCHANDRA YADAV,Khandwa,INC,"Rs 16,11,237 ~ 16 Lacs+",38,74,Shri  Arun  Yadav                                             ,15,2,Madhya Pradesh                                              ,26,0,271,ARUN SUBHASHCHANDRA YADAV,INC,1,Graduate,"Rs 5,32,89,688  ~ 5 Crore+","Rs 2,75,62,966  ~ 2 Crore+"
202,235,MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,"Rs 11,03,222 ~ 11 Lacs+",475,534,Shri  Makhansingh  Solanki                                           ,15,2,Madhya Pradesh                                              ,26,16,272,MAKNSINGH SOLANKI (BABUJI),BJP,0,5th Pass,"Rs 58,38,265  ~ 58 Lacs+","Rs 2,04,826  ~ 2 Lacs+"
203,236,DINSHA ZAVARBHAI PATEL,Kheda,INC,"Rs 4,54,374 ~ 4 Lacs+",8,26,Shri  Dinsha  Patel                                             ,15,2,Gujarat                                                     ,26,0,273,DINSHA ZAVARBHAI PATEL,INC,0,10th Pass,"Rs 2,30,65,019  ~ 2 Crore+","Rs 34,80,352  ~ 34 Lacs+"
204,237,ZAFAR ALI NAQVI,Kheri,INC,"Rs 13,80,047 ~ 13 Lacs+",190,240,Shri  Zafar Ali  Naqvi                                             ,15,2,Uttar Pradesh                                               ,26,26,274,ZAFAR ALI NAQVI,INC,0,Graduate Professional,"Rs 39,79,881  ~ 39 Lacs+",Rs 0  ~
205,239,MOHAMMAD ASRARUL HAQUE,Kishanganj,INC,"Rs 16,34,991 ~ 16 Lacs+",56,93,Shri  Mohammad Asrarul  Haque                                             ,15,2,Bihar                                                       ,26,22,276,MOHAMMAD ASRARUL HAQUE,INC,0,Post Graduate,"Rs 36,46,860  ~ 36 Lacs+",Rs 0  ~
206,240,Babu Lal Marandi,Kodarma,JVM,"Rs 22,90,467 ~ 22 Lacs+",162,211,Shri  Babu Lal  Marandi                                           ,15,2,Jharkhand                                                   ,26,13,277,Babu Lal Marandi,JVM(P),1,Graduate,"Rs 21,37,675  ~ 21 Lacs+",Rs 0  ~
207,241,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,BOPF,"Rs 22,44,048 ~ 22 Lacs+",154,202,Shri  Sansuma Khunggur  Bwiswmuthiary                                     ,15,2,Assam                                                       ,26,23,278,SANSUMA KHUNGGUR BWISWMUTHIARY,BPF,0,Graduate,"Rs 49,54,903  ~ 49 Lacs+","Rs 4,64,860  ~ 4 Lacs+"
208,242,SADASHIVRAO MANDLIK DADOBA,Kolhapur,IND,"Rs 10,61,023 ~ 10 Lacs+",157,205,Shri  Sadashivrao Dadoba  Mandlik                                           ,15,2,Maharashtra                                                 ,26,14,280,SADASHIVRAO MANDLIK DADOBA,IND,0,Graduate,"Rs 1,15,52,012  ~ 1 Crore+",Rs 0  ~
209,244,SUDIP BANDYOPADHYAY,Kolkata Uttar,AITC,"Rs 17,21,663 ~ 17 Lacs+",143,191,Shri  Sudip  Bandyopadhyay                                     ,15,2,West Bengal                                                 ,26,21,282,SUDIP BANDYOPADHYAY,AITC,0,Graduate,"Rs 41,87,479  ~ 41 Lacs+","Rs 1,96,283  ~ 1 Lacs+"
210,245,N Peethambarakurup,Kollam,INC,"Rs 20,12,292 ~ 20 Lacs+",196,248,Shri  N.  Peethambarakurup                                  ,15,2,Kerala                                                      ,26,17,283,N Peethambarakurup,INC,2,Graduate,"Rs 28,10,132  ~ 28 Lacs+",Rs 0  ~
211,246,Shivaramgouda,Koppal,BJP,"Rs 18,65,093 ~ 18 Lacs+",392,449,Shri  Shivarama  Gouda                                             ,15,2,Karnataka                                                   ,26,21,284,Shivaramgouda,BJP,0,Graduate Professional,"Rs 1,45,18,988  ~ 1 Crore+","Rs 30,78,847  ~ 30 Lacs+"
212,247,Jayaram Pangi,Koraput,BJD,"Rs 6,92,312 ~ 6 Lacs+",353,409,Shri  Jayaram  Pangi                                             ,15,2,Orissa                                                      ,26,23,285,Jayaram Pangi,BJD,0,10th Pass,"Rs 61,82,372  ~ 61 Lacs+",Rs 0  ~
213,248,Charandas Mahant,Korba,INC,"Rs 15,40,117 ~ 15 Lacs+",22,58,Dr.  Charan Das  Mahant                                            ,15,2,Chhattisgarh                                                ,26,0,286,Charandas Mahant,INC,0,Doctorate,"Rs 4,27,04,354  ~ 4 Crore+","Rs 16,43,424  ~ 16 Lacs+"
214,249,IJYARAJ SINGH,Kota,INC,"Rs 14,70,786 ~ 14 Lacs+",180,230,Shri  Ijyaraj  Singh                                             ,15,2,Rajasthan                                                   ,26,25,287,IJYARAJ SINGH,INC,0,Post Graduate,"Rs 18,01,31,144  ~ 18 Crore+",Rs 0  ~
215,250,Jose K Mani,Kottayam,KEC(M),"Rs 16,78,839 ~ 16 Lacs+",201,253,Shri  Jose K.  Mani                                              ,15,2,Kerala                                                      ,26,26,288,Jose K Mani,KEC(M),0,Post Graduate,"Rs 96,51,729  ~ 96 Lacs+",Rs 0  ~
216,251,M K Raghavan,Kozhikode,INC,"Rs 10,10,670 ~ 10 Lacs+",137,185,Shri  M. K.  Raghavan                                          ,15,2,Kerala                                                      ,26,22,289,M K Raghavan,INC,0,Graduate,"Rs 14,09,694  ~ 14 Lacs+","Rs 10,55,000  ~ 10 Lacs+"
217,253,TAPAS PAUL,Krishnanagar,AITC,"Rs 15,41,300 ~ 15 Lacs+",285,339,Shri  Tapas  Paul                                              ,15,2,West Bengal                                                 ,26,23,291,TAPAS PAUL,AITC,5,Graduate,"Rs 96,14,227  ~ 96 Lacs+",Rs 0  ~
218,254,NAVEEN JINDAL,Kurukshetra,INC,"Rs 17,92,285 ~ 17 Lacs+",39,75,Shri  Naveen  Jindal                                            ,15,2,Haryana                                                     ,26,20,293,NAVEEN JINDAL,INC,0,Post Graduate,"Rs 1,31,07,30,000  ~ 131 Crore+",Rs 0  ~
219,256,HASSAN KHAN,Ladakh,IND,"Rs 3,97,550 ~ 3 Lacs+",156,204,Shri  Hassan  Khan                                              ,15,2,Jammu and Kashmir                                           ,26,26,295,HASSAN KHAN,IND,0,Graduate,"Rs 60,65,000  ~ 60 Lacs+",Rs 0  ~
220,257,RANEE NARAH,Lakhimpur,INC,"Rs 15,78,937 ~ 15 Lacs+",29,65,Smt.  Ranee  Narah                                             ,15,2,Assam                                                       ,26,0,296,RANEE NARAH,INC,1,Graduate,"Rs 5,39,76,290  ~ 5 Crore+",Rs 0  ~
221,258,Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,"Rs 2,02,226 ~ 2 Lacs+",47,82,Shri  Hamdullah  Sayeed                                            ,15,2,Lakshadweep                                                 ,26,26,297,Muhammed Hamdulla Sayeed A.B.,INC,0,Graduate Professional,"Rs 2,09,77,767  ~ 2 Crore+",Rs 0  ~
222,259,DR. BALIRAM,Lalganj,BSP,"Rs 17,86,846 ~ 17 Lacs+",226,279,Dr.    Bali Ram                                          ,15,2,Uttar Pradesh                                               ,26,25,298,DR. BALIRAM,BSP,0,Doctorate,"Rs 80,03,036  ~ 80 Lacs+","Rs 6,38,922  ~ 6 Lacs+"
223,260,AAWALE JAYWANT GANGARAM,Latur,INC,"Rs 23,16,213 ~ 23 Lacs+",215,268,Shri  Jaywant  Gangaram   Awale                                  ,15,2,Maharashtra                                                 ,26,21,299,AAWALE JAYWANT GANGARAM,INC,1,10th Pass,"Rs 3,04,85,766  ~ 3 Crore+",Rs 0  ~
224,261,Sudershan Bhagat,Lohardaga,BJP,"Rs 21,06,156 ~ 21 Lacs+",460,518,Shri  Sudarshan  Bhagat                                            ,15,2,Jharkhand                                                   ,26,24,300,Sudershan Bhagat,BJP,0,Graduate,"Rs 30,93,207  ~ 30 Lacs+","Rs 2,36,750  ~ 2 Lacs+"
225,262,LAL JI TANDON,Lucknow,BJP,"Rs 16,51,350 ~ 16 Lacs+",432,490,Shri  Lalji  Tandon                                            ,15,2,Uttar Pradesh                                               ,26,5,301,LAL JI TANDON,BJP,0,Graduate,"Rs 2,17,00,160  ~ 2 Crore+",Rs 0  ~
226,263,MANISH TEWARI,Ludhiana,INC,"Rs 18,47,705 ~ 18 Lacs+",14,39,Shri  Manish  Tewari                                            ,15,2,Punjab                                                      ,26,0,302,MANISH TEWARI,INC,0,Graduate Professional,"Rs 2,99,41,543  ~ 2 Crore+",Rs 0  ~
227,264,TUFANI SAROJ,Machhlishahr,SP,"Rs 13,51,016 ~ 13 Lacs+",239,293,Shri  Tufani  Saroj                                             ,15,2,Uttar Pradesh                                               ,26,25,303,TUFANI SAROJ,SP,0,Graduate,"Rs 53,36,133  ~ 53 Lacs+",Rs 0  ~
228,266,SHARAD YADAV,Madhepura,JD(U),"Rs 15,89,031 ~ 15 Lacs+",311,366,Shri  Sharad  Yadav                                             ,15,2,Bihar                                                       ,26,23,306,SHARAD YADAV,JD(U),1,Graduate Professional,"Rs 1,41,07,050  ~ 1 Crore+",Rs 0  ~
229,268,P. BALRAM,Mahabubabad,INC,"Rs 12,58,657 ~ 12 Lacs+",33,69,Shri  P.  Balram  Naik                                      ,15,2,Andhra Pradesh                                              ,26,0,309,P. BALRAM,INC,0,Graduate,"Rs 1,71,95,194  ~ 1 Crore+","Rs 1,41,22,000  ~ 1 Crore+"
230,269,HARSH VARDHAN,Maharajganj,INC,"Rs 10,45,822 ~ 10 Lacs+",174,224,Shri  Harsh  Vardhan                                           ,15,2,Uttar Pradesh                                               ,26,21,310,Uma Shanaker Singh,RJD,2,10th Pass,"Rs 1,01,45,601  ~ 1 Crore+","Rs 4,50,000  ~ 4 Lacs+"
231,269,HARSH VARDHAN,Maharajganj,INC,"Rs 10,45,822 ~ 10 Lacs+",208,261,Shri  Uma Shanaker  Singh                                             ,15,2,Bihar                                                       ,26,25,310,Uma Shanaker Singh,RJD,2,10th Pass,"Rs 1,01,45,601  ~ 1 Crore+","Rs 4,50,000  ~ 4 Lacs+"
232,270,Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,"Rs 13,88,829 ~ 13 Lacs+",458,516,Shri  Chandulal Sahu  Chandu Bhaiya  ,15,2,Chhattisgarh                                                ,26,22,311,Chandulal Sahu (Chandu Bhaiya),BJP,0,Graduate Professional,"Rs 68,05,000  ~ 68 Lacs+","Rs 13,00,000  ~ 13 Lacs+"
233,272,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,"Rs 15,97,521 ~ 15 Lacs+",27,63,Shri  A.H.   Khan  Choudhury                                         ,15,2,West Bengal                                                 ,26,0,316,Abu Hasem Khan Choudhury,INC,0,Doctorate,"Rs 87,82,797  ~ 87 Lacs+",Rs 0  ~
234,273,Mausam Noor,Maldaha Uttar,INC,"Rs 14,00,841 ~ 14 Lacs+",116,163,Ms.  Mausam  Noor                                              ,15,2,West Bengal                                                 ,26,16,317,Mausam Noor,INC,0,Graduate Professional,"Rs 18,47,359  ~ 18 Lacs+","Rs 2,34,488  ~ 2 Lacs+"
235,275,BASORI SINGH MASRAM,Mandla,INC,"Rs 17,34,616 ~ 17 Lacs+",127,174,Shri  Basori Singh  Masram                                            ,15,2,Madhya Pradesh                                              ,26,18,320,BASORI SINGH MASRAM,INC,0,8th Pass,"Rs 36,21,178  ~ 36 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
236,276,MEENAKSHI NATRAJAN,Mandsour,INC,"Rs 14,78,951 ~ 14 Lacs+",119,166,Smt.  Meenakshi  Natrajan                                          ,15,2,Madhya Pradesh                                              ,26,17,321,MEENAKSHI NATRAJAN,INC,0,Post Graduate,"Rs 11,26,966  ~ 11 Lacs+",Rs 0  ~
237,277,N Chaluvarayaswamy,Mandya,JD(S),"Rs 17,25,324 ~ 17 Lacs+",202,255,Shri  N. Cheluvaraya Swamy  ,15,2,Karnataka                                                   ,26,18,322,N Chaluvarayaswamy,JD(S),15,12th Pass,"Rs 5,41,68,804  ~ 5 Crore+","Rs 41,25,000  ~ 41 Lacs+"
238,278,RAMEN DEKA,Mangaldoi,BJP,"Rs 18,27,650 ~ 18 Lacs+",349,405,Shri  Ramen  Deka                                              ,15,2,Assam                                                       ,26,15,323,RAMEN DEKA,BJP,0,Graduate,"Rs 75,79,967  ~ 75 Lacs+",Rs 0  ~
239,279,JAYANT K SINGH,Mathura,RLD,"Rs 19,64,153 ~ 19 Lacs+",86,131,Shri  Jayant  Chaudhary                                         ,15,2,Uttar Pradesh                                               ,26,19,324,JAYANT K SINGH,RLD,1,Post Graduate,"Rs 3,02,04,219  ~ 3 Crore+","Rs 2,88,327  ~ 2 Lacs+"
240,280,CHOUDHURY MOHAN JATUA,Mathurapur,AITC,"Rs 6,51,097 ~ 6 Lacs+",255,308,  Choudhury Mohan  Jatua                                             ,15,2,West Bengal                                                 ,26,2,325,CHOUDHURY MOHAN JATUA,AITC,0,Post Graduate,"Rs 25,85,000  ~ 25 Lacs+",Rs 0  ~
241,281,BABAR GAJANAN DHARMSHI,Maval,SHS,"Rs 16,67,211 ~ 16 Lacs+",375,431,Shri  Gajanan D.  Babar                                             ,15,2,Maharashtra                                                 ,26,13,326,BABAR GAJANAN DHARMSHI,SHS,7,Literate,"Rs 6,78,31,434  ~ 6 Crore+",Rs 0  ~
242,282,Kodikunnil Suresh,Mavelikkara,INC,"Rs 12,06,050 ~ 12 Lacs+",24,60,Shri    Kodikunnil  Suresh                                ,15,2,Kerala                                                      ,26,0,327,Kodikunnil Suresh,INC,4,Graduate Professional,"Rs 16,52,747  ~ 16 Lacs+","Rs 77,210  ~ 77 Thou+"
243,283,MANIAN O.S,Mayiladuthurai,ADMK,"Rs 16,10,540 ~ 16 Lacs+",244,298,Shri  O. S.  Manian                                            ,15,2,Tamil Nadu                                                  ,26,18,328,MANIAN O.S,ADMK,1,12th Pass,"Rs 86,35,089  ~ 86 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
244,284,Laxman Tudu,Mayurbhanj,BJD,"Rs 9,91,512 ~ 9 Lacs+",386,442,Shri  Laxman  Tudu                                              ,15,2,Orissa                                                      ,26,15,329,Laxman Tudu,BJD,0,Graduate,"Rs 1,73,000  ~ 1 Lacs+","Rs 38,986  ~ 38 Thou+"
245,285,Prabodh Panda,Medinipur,CPI,"Rs 11,61,022 ~ 11 Lacs+",249,303,Shri  Prabodh  Panda                                             ,15,2,West Bengal                                                 ,26,26,331,Prabodh Panda,CPI,0,Graduate,"Rs 22,30,746  ~ 22 Lacs+","Rs 3,62,156  ~ 3 Lacs+"
246,286,RAJENDRA AGARWAL,Meerut,BJP,"Rs 13,02,914 ~ 13 Lacs+",382,438,Shri  Rajendra  Agarwal                                           ,15,2,Uttar Pradesh                                               ,26,26,332,RAJENDRA AGARWAL,BJP,0,Post Graduate,"Rs 21,21,825  ~ 21 Lacs+","Rs 3,15,620  ~ 3 Lacs+"
247,287,BAL KUMAR PATEL,Mirzapur,SP,"Rs 11,34,920 ~ 11 Lacs+",278,332,Shri  Bal Kumar  Patel                                             ,15,2,Uttar Pradesh                                               ,26,23,333,BAL KUMAR PATEL,SP,10,12th Pass,"Rs 2,29,78,000  ~ 2 Crore+","Rs 1,16,95,272  ~ 1 Crore+"
248,288,C.L.RUALA,Mizoram,INC,"Rs 2,40,816 ~ 2 Lacs+",222,275,Shri  C. L.  Ruala                                             ,15,2,Mizoram                                                     ,26,26,335,C.L.RUALA,INC,0,Graduate Professional,"Rs 53,54,186  ~ 53 Lacs+",Rs 0  ~
249,289,SUSHILA SAROJ,Mohanlalganj,SP,"Rs 17,86,045 ~ 17 Lacs+",246,300,Smt.  Sushila  Saroj                                             ,15,2,Uttar Pradesh                                               ,26,24,336,SUSHILA SAROJ,SP,0,Post Graduate,"Rs 2,86,80,230  ~ 2 Crore+","Rs 24,52,429  ~ 24 Lacs+"
250,290,MOHAMMED AZHARUDDIN,Moradabad,INC,"Rs 17,56,278 ~ 17 Lacs+",46,81,Shri  Mohammed  Azharuddin                                        ,15,2,Uttar Pradesh                                               ,26,21,337,MOHAMMED AZHARUDDIN,INC,0,Graduate,"Rs 2,52,33,948  ~ 2 Crore+","Rs 5,65,160  ~ 5 Lacs+"
